"","Price","Living.area","bedrooms","bathrooms","year","garage"
"1",550000,2800,4,3,1940,2
"2",619900,2770,4,3,1924,1
"3",499862,2184,4,2,1926,2
"4",629000,2105,4,2,1927,2
"5",539900,2152,3,3,1927,2
"6",759000,2240,3,3,1909,2
"7",3e+05,1617,4,3.5,1973,2
"8",3e+05,2600,4,2.5,1941,0
"9",7e+05,2550,4,3,1954,2
"10",699999,3500,5,4,1928,3
"11",699999,2760,5,3,1942,3
"12",499999,3576,4,3.5,1985,2
"13",419900,4155,4,3.5,1987,2
"14",699000,3700,5,4,1986,2
"15",595000,3752,5,3.5,1996,2
"16",499900,2754,4,2.5,2002,2
"17",468850,2800,5,3.5,1996,2
"18",794800,4000,5,3,1945,1
"19",690000,3800,4,2,1950,1
"20",650000,4000,4,1.5,1905,1
"21",650000,3000,3,2,1925,0
"22",649000,4100,3,2.5,1945,1
"23",649000,4000,3,2.5,1950,2
"24",425000,1418,3,1.5,1910,1
"25",419000,1862,4,1,1891,0
"26",419000,1252,3,1,1911,0
"27",399900,1308,4,2,1956,0
"28",449900,3000,5,2,1916,0
"29",325000,2043,4,1,1899,0
"30",495000,3200,4,3.5,1940,6
"31",774500,4400,5,5,2007,2
"32",749000,3120,4,4.5,2008,2
"33",679000,3108,4,3.5,1977,0
"34",944900,3345,4,4,2008,3
"35",1100000,3400,4,3.5,1880,2
"36",1190000,2900,5,3.5,1964,2
"37",999000,2700,6,3.5,1880,0
"38",674500,1600,3,1.5,1937,1
"39",449000,1000,2,1,1950,0
"40",599900,1600,3,2,1952,2
"41",350000,1152,4,2,1979,0
"42",378876,1048,2,2,1884,0
"43",329900,1555,4,2,1924,0
"44",389900,1640,3,2,1962,1
"45",369500,1565,3,2,1952,0
"46",345000,1396,4,2,1959,1
"47",384500,1357,3,2,1910,1
"48",189900,2650,3,2.5,1950,1
"49",189000,2294,5,3,1920,0
"50",168000,1934,4,1.5,1915,1
"51",159000,1737,4,2,1920,2
"52",1e+05,2656,5,2.5,1910,0
"53",109000,1400,4,2,1920,0
"54",155000,1824,4,2,1900,0
"55",789900,3453,4,3.5,1986,3
"56",699000,2600,3,2.5,2008,1
"57",524899,3300,4,2.5,2008,2
"58",499900,3000,4,2.5,2008,2
"59",289000,2196,3,2.5,1989,1
"60",285000,2669,4,4,1989,2
"61",259800,2346,3,2.5,1989,2
"62",205000,1908,3,2.5,1967,2
"63",199900,1992,3,1.5,1970,2
"64",849900,2310,4,2.5,1951,0
"65",879000,4225,4,3.5,1985,3
"66",745000,2494,4,2.5,1969,0
"67",599000,2600,4,2.5,2008,2
"68",525000,4400,4,3,1995,2
"69",359900,3483,4,2.5,1987,2
"70",515000,4310,4,3.5,1969,2
"71",324900,3635,4,2.5,1989,2
"72",348900,3000,4,2.5,2005,2
"73",4e+05,2000,3,2.5,1987,0
"74",4e+05,1000,3,1.5,1910,0
"75",5e+05,2000,4,2.5,1965,1
"76",4e+05,2000,3,1.5,1956,1
"77",525000,2000,3,2,2008,1
"78",475000,2000,4,2,1965,1
"79",699000,3300,3,1,1955,1
"80",678888,5000,3,2,1935,1
"81",729000,4000,4,2.5,1940,1
"82",718000,3000,3,2.5,1930,2
"83",699000,1600,3,2.5,1930,1
"84",598888,1900,3,2.5,1940,1
"85",575000,4000,3,1.5,1930,1
"86",299000,2118,4,2.5,1958,2
"87",299000,2683,4,2.5,1956,2
"88",290000,2403,4,2.5,1967,2
"89",275000,2707,4,2.5,1962,2
"90",245000,2832,3,2.5,1960,2
"91",299900,2494,4,2.5,1959,2
"92",3e+05,2783,5,3,1970,2
"93",224900,1406,3,2,1944,1
"94",399900,2339,3,2.5,1989,2
"95",397500,3600,4,3.5,2001,2
"96",364500,2989,3,2.5,1985,2
"97",325900,3670,6,3.5,1973,2
"98",289000,1828,3,2.5,1984,2
"99",497000,2096,3,2.5,1978,2
"100",407500,2158,4,2.5,1975,2
"101",274900,1735,4,2.5,1930,1
"102",539900,2426,4,2.5,2005,2
"103",454900,2900,4,3.5,1993,2
"104",539000,3048,3,2.5,1980,2
"105",498000,4207,6,4,2007,3
"106",497500,3046,4,3.5,2008,3
"107",429900,3202,4,2.5,2004,2
"108",599700,3525,5,4.5,2008,3
"109",499900,3652,4,3.5,2005,3
"110",477000,3165,4,3.5,2008,3
"111",699000,4000,5,5,2003,3
"112",659000,1400,5,4.5,2005,2
"113",449000,2693,4,3.5,2004,2
"114",590000,3119,4,4.5,1992,3
"115",619900,3000,5,4.5,1977,2
"116",449000,2400,5,3.5,2009,2
"117",875000,3891,3,4,1988,2
"118",869000,4044,5,5,1990,2
"119",825000,4346,4,5,1997,2
"120",8e+05,4374,5,3,1984,2
"121",799000,4314,5,3,1999,3
"122",295000,1032,2,2,1927,1
"123",3e+05,1189,3,2,1927,1
"124",275000,1052,3,1,1925,1
"125",264000,1411,5,3,1921,1
"126",260000,846,2,1,1927,0
"127",245000,1769,4,2,1929,0
"128",339000,3364,4,2.5,2008,2
"129",344000,2645,4,2.5,2000,2
"130",367178,2480,4,2.5,2008,2
"131",374900,3496,4,3.5,1973,2
"132",380000,3474,5,3,1997,2
"133",449900,3300,5,4.5,2005,3
"134",480850,3441,4,3.5,1990,3
"135",659900,3412,5,3.5,2002,3
"136",649900,4580,4,2.5,1982,3
"137",549000,3691,4,4,1995,2
"138",999999,4200,4,4,1999,3
"139",219900,3272,3,3.5,1928,2
"140",169900,1511,3,3,1974,2
"141",325000,2138,5,4,1962,3
"142",269900,3105,3,2.5,1820,3
"143",249900,2468,3,2,1930,2
"144",179000,1958,3,2,1958,2
"145",169900,2016,4,2,1957,2
"146",149000,2400,5,3.6,2006,2
"147",3e+05,2016,4,2.5,1999,2
"148",317500,2200,4,2.5,2003,2
"149",324974,2918,5,3,1998,1
"150",339000,2875,5,3,2001,2
"151",339999,3320,4,3,2007,2
"152",228500,2028,4,2.5,1992,0
"153",289000,2250,4,2.5,2004,2
"154",230000,2212,4,3,1978,0
"155",299911,1844,3,2,1999,2
"156",244500,1923,3,3,1978,3
"157",1100000,4501,5,4,1999,3
"158",599900,1740,3,2.5,1977,2
"159",394900,1289,2,2,1928,1
"160",639000,1723,3,2,1922,0
"161",749000,1180,3,2,1930,0
"162",675000,1262,3,1,1917,0
"163",618000,1801,3,2.5,1959,0
"164",1389000,4064,5,6,1936,2
"165",1190000,2644,4,3,1966,2
"166",1049900,2070,3,4,1977,2
"167",999000,2712,4,3,1969,2
"168",499900,2636,4,3,1988,3
"169",309900,2559,3,2.5,1985,2
"170",229900,1752,3,1.5,1982,1
"171",314900,2310,3,3,1978,4
"172",132900,1792,3,2,1890,0
"173",449000,3950,5,3.5,2002,2
"174",349500,4111,5,5,1999,1
"175",599000,3700,4,4,2005,3
"176",539900,3872,4,3,1997,0
"177",350000,3099,4,4,2003,2
"178",317500,2248,4,3,1992,2
"179",284900,2230,4,3,2004,2
"180",324900,2561,4,3,1991,2
"181",339900,2315,4,3,1995,2
"182",349900,2408,4,3,2002,2
"183",569000,3108,3,3,1994,2
"184",495000,3298,4,3,1990,2
"185",465000,4502,7,10,1892,3
"186",4e+05,2946,4,3,1986,2
"187",314900,2127,4,3,2003,2
"188",299900,2060,3,3,1963,0
"189",299500,2592,3,3,1901,2
"190",275000,1871,4,3,1992,2
"191",248500,1411,3,2,2006,1
"192",129900,2466,6,4,1880,1
"193",239000,2896,4,2,1890,0
"194",159900,2204,4,2,1903,1
"195",249900,1950,4,2.5,1987,2
"196",174000,2359,3,2.5,1984,2
"197",279900,2200,4,2.5,1962,2
"198",379187,2552,3,4,1988,2
"199",329000,3245,5,2.5,2007,2
"200",290900,1744,4,1.5,1920,0
"201",235900,1504,3,1.5,1971,2
"202",224900,1965,3,1.5,1948,0
"203",349000,3000,5,4.5,1998,2
"204",8e+05,3798,3,2.5,1992,2
"205",799000,3560,3,3.5,1861,1
"206",595000,1768,3,1.5,1751,1
"207",450000,1576,4,1.5,1825,3
"208",524900,2464,4,2.5,1999,2
"209",629000,2790,3,2,1974,1
"210",499000,3250,4,4,2007,3
"211",499000,4000,5,5,2005,3
"212",494000,3167,4,3,2008,3
"213",493000,3339,4,2,2008,3
"214",480900,3049,4,2.5,2008,3
"215",149900,1300,3,2,1984,0
"216",214900,1675,3,2,1995,1
"217",128500,1475,3,2.5,1989,0
"218",197500,1520,3,2.5,1984,0
"219",219900,1925,3,2.5,1999,2
"220",250000,2236,3,2.5,2000,2
"221",1235000,3722,4,3,2000,2
"222",1289000,3834,4,4,1999,2
"223",1099000,3798,4,3,1979,2
"224",889000,3330,4,4.5,1938,2
"225",949900,2548,4,4,1930,1
"226",939000,2857,4,2,1954,2
"227",675000,2100,4,2,1928,1
"228",889000,2634,4,3,1929,2
"229",995000,3600,5,4,1967,2
"230",725000,2400,4,2.5,1930,0
"231",724999,2300,3,2.5,1921,0
"232",579000,2773,4,2.5,1924,0
"233",679000,2800,6,2,1908,0
"234",569000,1500,4,1.5,1948,0
"235",679000,1800,3,2,1930,0
"236",449950,4304,6,4,1992,3
"237",439900,3828,5,4,1987,2
"238",429000,4327,6,4,1987,3
"239",349000,4218,6,4,2008,3
"240",329900,3956,5,4,1989,2
"241",1185000,2135,3,2,1962,2
"242",889000,1546,3,2,1952,2
"243",899000,2429,4,3,2005,2
"244",524000,2827,5,3,1964,2
"245",799000,1000,2,1,1951,0
"246",254900,2168,3,2.5,1900,0
"247",265000,2141,4,1.5,1900,0
"248",194900,1100,1,1.5,1920,0
"249",140900,3136,4,2.5,1920,2
"250",174000,2039,4,2,1927,2
"251",399999,4403,5,3.5,1900,2
"252",499999,1678,3,3,1955,1
"253",399999,1090,3,3,1954,0
"254",510000,1856,3,3,1956,2
"255",465000,1415,4,3,1959,1
"256",449000,2376,5,3,1950,0
"257",549000,1848,4,3.5,1950,0
"258",699000,4400,5,3.5,1987,2
"259",670000,2200,3,2,2008,2
"260",899000,3600,4,2.5,1991,3
"261",899000,4000,3,2.5,1996,3
"262",8e+05,4400,7,6,1946,3
"263",297000,1320,3,1.5,1851,1
"264",289900,1692,3,1.5,1941,2
"265",274900,1789,3,2.5,1999,1
"266",265000,1846,3,1.5,1876,0
"267",240000,2200,4,2,1892,1
"268",264174,4250,5,3.5,2006,3
"269",195000,3083,4,2.5,2006,2
"270",269900,3276,4,3.5,2006,3
"271",240000,3668,4,2.5,1975,3
"272",239900,3412,6,4,2006,2
"273",234900,3299,4,3.5,2007,2
"274",208500,3000,4,3,1969,0
"275",629000,1588,3,2,1925,0
"276",599999,2106,4,2,1930,1
"277",549000,2160,5,2,1930,1
"278",485000,1836,3,3,1945,0
"279",699000,2113,3,2.5,1940,1
"280",299900,2786,4,3,1986,2
"281",279900,2172,4,4,1969,2
"282",182900,1857,3,2,1977,2
"283",1e+05,1457,3,2,1940,1
"284",149900,1750,3,2,1961,2
"285",109900,1220,2,1.5,1986,1
"286",169900,1765,3,2,1968,2
"287",450000,3048,5,3,2006,4
"288",455000,3189,4,3,2007,3
"289",469900,3662,7,4,2005,4
"290",399000,3005,4,3,2000,4
"291",539900,4156,5,3.5,2004,3
"292",345000,2266,5,3,2001,3
"293",350000,1937,4,2.5,2003,2
"294",4e+05,2468,4,2.5,1995,2
"295",399900,1870,4,2,1998,2
"296",394900,2187,4,2.5,1991,2
"297",374900,1610,3,2,1989,1
"298",339900,1248,3,2,2000,2
"299",848000,1440,3,1,1930,0
"300",849000,1344,3,2.5,1925,0
"301",9e+05,4224,5,4,1920,0
"302",975000,3000,3,3.5,1920,0
"303",999000,1128,3,1.5,1925,1
"304",499000,2653,3,3,2000,2
"305",489900,4276,3,3,2006,2
"306",425000,4712,4,5,1924,1
"307",599000,3800,4,4,2000,1
"308",1450000,1612,3,1,1924,3
"309",1398000,1881,4,2,1963,2
"310",1299950,2036,4,3,2008,2
"311",1299000,2121,4,3,1967,2
"312",1299000,1761,3,2,1956,2
"313",1225000,1916,4,3,1954,1
"314",498000,2040,4,2.5,1963,0
"315",5e+05,3500,4,3,2006,3
"316",499990,3407,3,2.5,2008,2
"317",355000,3110,3,2.5,2000,3
"318",275000,2640,3,2,1995,2
"319",295000,2750,3,2,2000,2
"320",355500,2500,3,2,2005,3
"321",275000,1690,3,2.5,1998,1
"322",275000,1397,3,2,1981,2
"323",270000,2365,3,3.5,1992,2
"324",274000,2068,3,3,1980,2
"325",270000,1898,3,2,1991,2
"326",275000,1910,4,2,2001,1
"327",269900,3261,4,3.5,1982,3
"328",399900,3209,4,3.5,2006,2
"329",369950,3206,5,3.5,2007,2
"330",279000,3421,4,3.5,1993,2
"331",247920,2066,3,2.5,2008,2
"332",239900,2500,4,3,2007,2
"333",255000,2330,4,3,2005,2
"334",349900,3240,5,2.5,1762,1
"335",299900,2328,3,1.5,1965,2
"336",459900,2601,4,2.5,1988,2
"337",229900,1561,3,2,1930,0
"338",343900,3930,3,3.5,1965,2
"339",529000,1632,4,2,1926,0
"340",549000,1750,4,2,1950,1
"341",575000,1820,5,4,1994,1
"342",599900,1743,3,3,1962,2
"343",6e+05,2156,3,2,1977,0
"344",449000,1702,2,2,1928,3
"345",779000,2625,4,1.5,1920,2
"346",550000,1592,3,2,1937,1
"347",699000,2854,4,2.5,2008,2
"348",990000,3316,4,3,2008,2
"349",815000,1783,3,2,1890,1
"350",499900,2030,4,2.5,2008,2
"351",499000,3575,4,4,2007,2
"352",489900,4040,8,2.5,1789,0
"353",429900,2260,4,2.5,1993,2
"354",499900,2320,4,2.5,2008,2
"355",489900,2230,3,2.5,2008,2
"356",489000,3036,4,2.5,2005,2
"357",299900,2786,4,3,1986,2
"358",279900,2172,4,4,1969,2
"359",182900,1857,3,2,1977,2
"360",1e+05,1457,3,2,1940,1
"361",149900,1750,3,2,1961,2
"362",109900,1220,2,1.5,1986,1
"363",169900,1765,3,2,1968,2
"364",329900,2925,4,4,1990,1
"365",224900,2143,4,3,2004,1
"366",182000,2377,4,2.5,1973,1
"367",179900,1720,4,2,1990,2
"368",169900,1908,3,2,1948,1
"369",1095000,2891,4,3,1955,0
"370",1050000,2834,4,3,1963,1
"371",995000,3030,3,3.5,1955,2
"372",995000,4185,3,3,1950,2
"373",884999,3424,3,3.5,1896,0
"374",822000,2754,3,3,1958,2
"375",769000,2727,4,2.5,1959,2
"376",1500000,5000,4,4,2005,4
"377",1300000,2928,5,3,2000,0
"378",375000,4000,2,1,1937,1
"379",429000,1512,3,2,2002,2
"380",109000,2156,4,2,1917,2
"381",174500,2467,4,2,1850,3
"382",151500,1710,3,2,1857,0
"383",1e+05,2580,4,2,1901,0
"384",129900,1122,3,1,1910,0
"385",135000,736,2,1.5,1946,1
"386",137000,1884,3,1.5,1970,1
"387",142900,1136,3,1,1880,0
"388",155000,948,2,1,1920,1
"389",159900,1722,3,1.5,1954,0
"390",369900,4412,5,5,1991,2
"391",359900,3328,4,2.5,1984,2
"392",349900,3450,4,2.5,1984,2
"393",364900,3350,5,4,1985,2
"394",380000,3800,5,4.5,1996,2
"395",299000,3000,4,3.5,2001,1
"396",289900,2500,4,2.5,1995,2
"397",282900,2600,4,2.5,2006,2
"398",285000,2700,4,2.5,1989,2
"399",269000,3000,4,2.5,1978,2
"400",244000,2400,5,3,1955,2
"401",150000,1074,3,1,1906,1
"402",122500,1564,3,2.5,1905,2
"403",119000,1204,3,1,1959,2
"404",115000,2001,4,1.5,1956,2
"405",150000,1798,4,3,1971,2
"406",542000,2934,4,2,2004,2
"407",374500,2800,5,2,1959,2
"408",790000,2471,3,2,1979,2
"409",194500,1704,4,1,1958,1
"410",89900,1292,2,1,1979,2
"411",159900,2597,5,2,1961,0
"412",565000,1542,3,1,1954,0
"413",719000,2004,3,1.5,1955,2
"414",899900,2324,4,3,1953,2
"415",915000,2054,3,3,1962,2
"416",895000,2334,4,3.5,1936,2
"417",925000,4625,4,4,1979,2
"418",750000,4300,4,2.5,2008,1
"419",689000,2800,4,3,1957,1
"420",699000,1900,3,1.5,1904,0
"421",795000,3400,3,2.5,1985,0
"422",749000,3016,5,4,1956,2
"423",739000,2200,3,2.5,1952,2
"424",279900,3000,3,3.5,1969,2
"425",3e+05,3000,4,3,1970,2
"426",299900,2000,4,2.5,1926,2
"427",249900,1000,3,1,1925,0
"428",344900,2000,3,3.5,1966,2
"429",348500,1000,4,2.5,1967,2
"430",349900,3645,4,4.5,2002,2
"431",339900,2634,4,3,2007,2
"432",325000,3852,5,5,1850,0
"433",279000,2500,4,2.5,2007,2
"434",269000,3213,5,3,1970,2
"435",729900,3438,4,2.5,1965,2
"436",799000,3579,3,3.5,1969,2
"437",795000,3956,4,3.5,1953,2
"438",819900,4012,4,3.5,1986,2
"439",839000,3900,4,3,1999,1
"440",298500,1640,3,2.5,2009,2
"441",285000,2244,3,2.5,1994,2
"442",269900,3000,5,2.5,1974,0
"443",249900,2062,4,2,1930,0
"444",229000,1960,3,2,1900,2
"445",249900,3000,3,3,2005,0
"446",485900,2500,3,3.5,1958,2
"447",635000,3200,4,2.5,1987,2
"448",589000,2500,3,2,1956,3
